0.0	0.844522	0.587523	0.898644	1.315741	0.27741
0.033333	0.844579	0.588498	0.89916	1.315799	0.278386
0.066667	0.844579	0.588957	0.89916	1.316259	0.277468
0.1	0.845439	0.589816	0.899102	1.316201	0.277869
0.133333	0.845266	0.590561	0.898929	1.316027	0.277237
0.166667	0.845898	0.591652	0.898185	1.31666	0.27741
0.2	0.846298	0.592053	0.898586	1.316602	0.277352
0.233333	0.84584	0.593429	0.899044	1.317062	0.277352
0.266667	0.846125	0.593714	0.89933	1.316888	0.277179
0.3	0.846009	0.594516	0.898755	1.316773	0.276604
0.333333	0.846584	0.595091	0.898871	1.316888	0.277179
0.366667	0.846927	0.595893	0.899673	1.317232	0.277063
0.4	0.848017	0.596983	0.899387	1.317865	0.276778
0.433333	0.847158	0.598418	0.898987	1.318382	0.276835
0.466667	0.847328	0.599046	0.898698	1.318552	0.276546
0.5	0.847728	0.599447	0.89864	1.318954	0.276029
0.533333	0.848303	0.60048	0.899214	1.319069	0.276145
0.566667	0.848303	0.600939	0.899673	1.319529	0.276604
0.6	0.848761	0.602315	0.899673	1.319988	0.276604
0.633333	0.849104	0.602659	0.899557	1.320332	0.276029
0.666667	0.849563	0.603576	0.899557	1.320332	0.276029
0.7	0.849621	0.604093	0.900074	1.320849	0.276087
0.733333	0.850195	0.605585	0.900189	1.320505	0.276203
0.766667	0.849964	0.605353	0.899041	1.321193	0.275972
0.8	0.850423	0.607188	0.899499	1.321193	0.275972
0.833333	0.851456	0.607763	0.900074	1.321308	0.276087
0.866667	0.85134	0.608106	0.899958	1.321193	0.275972
0.9	0.851224	0.608908	0.899842	1.321536	0.276315
0.933333	0.85134	0.609941	0.900875	1.321652	0.276431
